Index          X            Y 

    1      0.000000      1.250000
    2      0.081100      1.250000
    3      0.256900      1.250000
    4      0.432800      1.250000
    5      0.545800      1.250000
    6      0.784500      1.250781
    7      1.085900      1.225854
    8      1.425000      1.209425
    9      1.701400      1.167572
   10      1.990300      1.117290
   11      2.304300      1.083935
   12      2.706300      1.033807
   13      2.970100      0.991937
   14      3.334400      0.916421
   15      3.686100      0.849333
   16      4.012700      0.807549
   17      4.351900      0.715107
   18      4.653400      0.656397
   19      5.105700      0.538771
   20      5.432300      0.488541
   21      5.846900      0.387755
   22      6.123300      0.320565
   23      6.223800      0.286919
   24      6.400000      0.261821
   25      6.400000      0.000000
