
  Index          X            Y 

   01       12.200000       2.735000
   02       12.518450       2.751287
   03       12.878222       2.744614
   04       13.297951       2.744927
   05       13.705691       2.738290
   06       14.089443       2.738576
   08       14.425227       2.738827
   09       14.844967       2.718315
   10       15.300691       2.683947
   11       15.744416       2.663453
   12       16.320067       2.622233
   13       16.775802       2.567040
   14       17.195565       2.504879
   15       17.591346       2.435758
   16       17.963140       2.373561
   17       18.226995       2.325167
   18       18.454871       2.283687
   19       18.600000       2.250000
   20       18.600000       2.165796
   21       18.600000       2.020022
   22       18.600000       1.770123
   23       18.600000       1.500000
   24       18.395374       1.415939
   25       18.119630       1.269959
   26       17.831879       1.151737
   27       17.460200       0.998744
   28       17.016584       0.817930
   29       16.524983       0.664847
   30       15.997405       0.511738
   31       15.421862       0.351651
   32       14.858289       0.233222
   33       14.222751       0.135565
   34       13.479269       0.065594
   35       12.807721       0.030385
   36       12.200000       0.000000
