
  Index          X            Y 

    1         4.000000      2.735000
    2         3.650000      2.735000
    3         3.548271      2.689058
    4         3.224521      2.612459
    5         2.912778      2.508102
    6         2.720953      2.410776
    7         2.469187      2.278697
    8         2.265400      2.125829
    9         2.037629      1.972943
   10         1.917777      1.840963
   11         1.785933      1.708973
   12         1.702020      1.646436
   13         1.582116      1.611638
   14         1.462231      1.542133
   15         1.306354      1.500367
   16         1.162487      1.423901
   17         0.970660      1.333517
   18         0.754866      1.208407
   19         0.622992      1.131950
   20         0.479155      0.999952
   21         0.323308      0.902653
   22         0.191456      0.784547
   23         0.047620      0.652548
   24         0.000000      0.500000
   25         0.059757      0.381834
   26         0.179724      0.298624
   27         0.347645      0.243216
   28         0.575524      0.194795
   29         0.827380      0.160275
   30         1.079240      0.118813
   31         1.319096      0.098167
   32         1.618925      0.056741
   33         1.846778      0.056911
   34         2.050665      0.022356
   35         2.338487      0.008687
   36         2.590328      0.001933
   37         2.890131      0.009099
   38         3.177945      0.009314
   39         3.429782      0.009502
   40         3.650000      0.000000
   41         4.000000      0.000000
