Index          X            Y 

    0         0.000000      0.000000
    1         0.006099      0.049995
    2         0.021297      0.115606
    3         0.048598      0.168708
    4         0.097096      0.218666
    5         0.166807      0.287356
    6         0.254687      0.352905
    7         0.336499      0.405959
    8         0.427399      0.462131
    9         0.527390      0.524545
   10         0.651608      0.586937
   11         0.748559      0.636854
   12         0.893979      0.702353
   13         1.033341      0.767858
   14         1.178752      0.823983
   15         1.315073      0.873865
   16         1.475627      0.929977
   17         1.627089      0.979846
   18         1.790658      1.020330
   19         1.908795      1.054603
   20         2.060242      1.085722
   21         2.205634      1.119972
   22         2.351021      1.147972
   23         2.484284      1.163482
   24         2.644808      1.185218
   25         2.826534      1.210062
   26         2.974934      1.219309
   27         3.129395      1.234801
   28         3.277793      1.240923
   29         3.408019      1.247060
   30         3.523104      1.248500
   31         3.600000      1.250000
   32         3.625000      1.250000
